发布内容,发布服务,发布分支,commit id号以及 msg,发布环境,产品线,影响范围,发布时间,发布owner,测试责任人,测试验收情况,研发责任人,研发验收情况,备注
url和实际的filetype不一样时，跳转到实际的url,cougar、lizard-one,release-20260127,"cougar: 1b62d4bc fix(naviate-filetype): filetype跟RouteType不一致时，跳转到正确的RouteType
lizard-one: ed4d28b8 fix(naviate-filetype): filetype跟路由不一致时，跳转到正确的路由","gate
pro",主站,套件路由跳转,2026/2/3 21:00,陈在宏,骆寿祥,,陈在宏,,
"- 修复创建副本时日期提醒复制错误的问题
- 修复关联引用时，主键列修改为日期时间后，关联引用单元格更新为空的问题
- 修复创建副本后多行文本列丢失富文本格式的问题",svc-table,fix/motable,49ea306d,"gate
pro",应用表格,创建副本、关联引用,2026/1/29 22:00,唐彪,叶慧玥,已验收,唐彪,已验收,
svc-auth 代理对企业逻辑调整版本发布,svc-auth,hotfix/cd115687/doc-v2,5eed04d9,pro,后端,新版本轻文档代理,2026/1/27 23:00,杜旻翔,,,杜旻翔,已验收,
svc-auth 代理对企业逻辑调整版本发布,svc-auth,hotfix/cd115687/doc-v2,5eed04d9,gate,后端,新版本轻文档代理,2026/1/26 23:00,杜旻翔,,,杜旻翔,已验收,
"fix: 修复全选设置行高后无法给有内容的行设置比上述更小的行高
修复输入跨sheet公式时，被选择的sheet A1单元格如果是文本格式，控制台会出现报错，无法选择范围",lizard-service-sheet-sdk,release-20251216,fix: 修复全选设置行高后无法给有内容的行设置比上述更小的行高 377be0e000809dc084f14f5235abd9ef9154a51e,"pre
gate
pro",专业表格,公式输入，行高设置,2026/1/26 21:00,王珂珂,程杰,,王珂珂,已验收,
高级权限灰度比例0 -> 30%,svc-table,fix/motable,5b45e072,"gate
pro",应用表格,高级权限功能,2026/1/23 21:00,唐彪,叶慧玥,已验收,唐彪,,
"- 修复应用表格从模版库创建工作表时白屏的问题
- 修复tablelist tab被遮挡问题
- 修复历史打开后表格被遮挡",table-sdk,release-20260120,58455f8: style：修复 tablelist tab 被遮挡问题、历史打开表格被遮挡,"gate
pro",应用表格,从模版库创建工作表、历史显示,2026/1/23 21:00,柯特,叶慧玥,已验收,柯特,,
"-修复撤销删除关联引用列保存失败
-高级权限灰度比例0 -> 30%",svc-table,fix/motable,e650292c,"gate
pro",应用表格,"-关联引用列撤销删除操作
-高级权限功能",2026/1/22 22:00,唐彪,叶慧玥,已验收,唐彪,已验收,灰度比例已回滚
"- 修复关联引用列撤销删除的逻辑
- 修复表格转应用表格接口5xx的问题
- 补齐高级权限中关联引用/引用表逻辑
- 修复单条记录的子任务展开/收起icon不显示的问题",table-sdk,release-20260120,adb49f2: fix: 修复子任务展开按钮宽高问题,"gate
pro",应用表格,关联引用、表格转应用表格,2026/1/22 22:00,柯特,叶慧玥,已验收,柯特,已验收,
"新轻文档预览灰度：PRO -个人文件 -
比例 62/62（100%）",无,无,修改配置,pro,轻文档,个人公开只读文件预览,2026/1/22 21:00,杜旻翔,骆寿祥,已验收,陈在宏,已验收,
• 修复轻文档 doc 格式导入 ,office-light-rs ,release,7ddf3745,"gate
pro",轻文档,轻文档导入,2026/1/22 21:00,郑细弯,骆寿祥,已验收,郑细弯,已验收,
修改微信内置浏览器中访问轻文档内的外部链接的提示文案,lizard-service-doc-sdk,develop,4ed643d6: fix: 修改黑名单链接的提示文案,"pre
gate
pro",轻文档,轻文档点击外链时的提示文案,2026/1/19 21:00,刘津玮,叶慧玥,已验收,刘津玮,已验收,
ix(import): 导入兼容非法结构图片,office-light-rs ,release,98fdcd80,"gate
pro",轻文档,轻文档导入,2026/1/19 21:00,郑细弯,郑细弯,已验收,郑细弯,已验收,
支付回调异常bug 修复,svc-billing,release,a47c04ec  Merge branch 'fix/alipay-callback-gbk-charset' into 'release',pro,后端,支付回调,2026/1/17 20:00,王洋洋,,,王洋洋,已验收,
支付回调异常bug 修复,svc-billing,release,a47c04ec  Merge branch 'fix/alipay-callback-gbk-charset' into 'release',gate,后端,支付回调,2026/1/16 20:00,王洋洋,,,王洋洋,已验收,
应用表格高级权限后端,"svc-table
svc-history","svc-table:fix/motable
svc-history:
hotfix/table-common",8e2f652c,"gate
pro",应用表格,应用表格功能,2026/1/15 22:00,唐彪,叶慧玥,已验收,唐彪,已验收,
应用表格高级权限,table-sdk,release-20251225-advanced-permission,870a011: refactor: 优化记录编辑器的处理逻辑，确保新插入记录的正确传递,pro,应用表格,应用表格功能,2026/1/15 22:00,柯特,叶慧玥,已验收,柯特,已验收,
举报按钮优化,"lizard-one
cougar-mobile-web
lizard-service-doc-sdk","release-20260106
release-20260106
develop","one：fa8ccb09
cougar：6a3a061","gate
pro",主站,举报按钮,2026/1/15 21:00,"梁洺睿
熊智",叶慧玥,已验收,"梁洺睿
熊智",已验收,
"表格导入导出：
1.表格导入文本框丢失
2.表格导入字体颜色异常",office-excel-rs,develop,8f5be1fc,"gate
pro",专业表格,表格导入,2026/1/15 21:00,陆俊杰,程杰,已验收,陆俊杰,已验收,
新轻文档新建菜单创建套件也需要弹出模板库弹窗，编辑器兼容低版本浏览器,cougar-mobile-web,release-20250106,88e7a0ed fix(editor-create-menu): 新建菜单创建套件也需要弹出模板库弹窗,"gate
pro
pre",轻文档,新轻文档新建菜单，回归新轻文档编辑器,2026/1/15 21:00,陈在宏,骆寿祥,已验收,陈在宏,已验收,
禁止在微信内置浏览器中访问轻文档内的外部链接,lizard-service-doc-sdk,develop,12f1a251: fix: 微信内外部链接统一识别为黑名单,"gate
pro
pre",轻文档,微信浏览器中，轻文档内访问外部链接,2026/1/15 21:00,刘津玮,叶慧玥,已验收,刘津玮,已验收,
